,,,,,,,,,,
,,,,,,,,,,
category ID,cat_code,category1_ru,category2_ru,category3_ru,category4_ru,category5_ru,category6_ru,comm FBO %,comm FBS %,comm DBS%
2615,АвтотоварыАксессуары и принадлежностиПрочие автомобильные аксессуары,Автотовары,Аксессуары и принадлежности,Прочие автомобильные аксессуары,,,,25%,25%,25%
2622,Строительство и ремонтОсвещениеСветомузыка,Строительство и ремонт,Освещение,Светомузыка,,,,25%,25%,25%
2625,"Спорт и отдыхОтдых на природе, рыбалка и охотаТуризм и отдых на природеАксессуары для туризма и отдыха",Спорт и отдых,"Отдых на природе, рыбалка и охота",Туризм и отдых на природе,Аксессуары для туризма и отдыха,,,25%,25%,25%
2627,"Спорт и отдыхОтдых на природе, рыбалка и охотаТуризм и отдых на природеКотелки и костровые треноги",Спорт и отдых,"Отдых на природе, рыбалка и охота",Туризм и отдых на природе,Котелки и костровые треноги,,,25%,25%,25%
2628,"Спорт и отдыхОтдых на природе, рыбалка и охотаТуризм и отдых на природеПоходная посуда",Спорт и отдых,"Отдых на природе, рыбалка и охота",Туризм и отдых на природе,Походная посуда,,,25%,25%,25%
2629,"Спорт и отдыхОтдых на природе, рыбалка и охотаТуризм и отдых на природеФляги и питьевые системыФляги",Спорт и отдых,"Отдых на природе, рыбалка и охота",Туризм и отдых на природе,Фляги и питьевые системы,Фляги,,25%,25%,25%
2631,Красота и уходМакияжАксессуары для макияжаСпонжи и аппликаторы,Красота и уход,Макияж,Аксессуары для макияжа,Спонжи и аппликаторы,,,30%,30%,30%
2632,Красота и уходМакияжАксессуары для макияжаПинцеты,Красота и уход,Макияж,Аксессуары для макияжа,Пинцеты,,,30%,30%,30%
2633,Красота и уходМакияжЛицоКушоны,Красота и уход,Макияж,Лицо,Кушоны,,,20%,20%,20%
2634,Красота и уходУход за лицомУвлажнение и питаниеДневные кремы,Красота и уход,Уход за лицом,Увлажнение и питание,Дневные кремы,,,20%,20%,20%
2635,Красота и уходУход за лицомУвлажнение и питаниеНочные кремы,Красота и уход,Уход за лицом,Увлажнение и питание,Ночные кремы,,,20%,20%,20%
2636,Красота и уходУход за лицомУвлажнение и питаниеКремы для глаз,Красота и уход,Уход за лицом,Увлажнение и питание,Кремы для глаз,,,20%,20%,20%
2638,Строительство и ремонтРасходные материалы и оснасткаОснасткаАдаптеры,Строительство и ремонт,Расходные материалы и оснастка,Оснастка,Адаптеры,,,25%,25%,25%
2639,Строительство и ремонтРасходные материалы и оснасткаОснасткаОснастка для краскопультов и аэрографовВоздушный фильтр для краскопульта,Строительство и ремонт,Расходные материалы и оснастка,Оснастка,Оснастка для краскопультов и аэрографов,Воздушный фильтр для краскопульта,,25%,25%,25%
2641,Строительство и ремонтИнструментыСлесарные инструментыПлашки и метчикиМетчики,Строительство и ремонт,Инструменты,Слесарные инструменты,Плашки и метчики,Метчики,,25%,25%,25%
2642,Строительство и ремонтРасходные материалы и оснасткаОснасткаНаправляющие и упоры,Строительство и ремонт,Расходные материалы и оснастка,Оснастка,Направляющие и упоры,,,25%,25%,25%
2645,Строительство и ремонтОсвещениеПатроны и переходники,Строительство и ремонт,Освещение,Патроны и переходники,,,,25%,25%,25%
2646,"ОдеждаЖенская одеждаНижнее бельёОткровенное бельё и костюмыПортупеи, гартеры",Одежда,Женская одежда,Нижнее бельё,Откровенное бельё и костюмы,"Портупеи, гартеры",,25%,25%,25%
2650,ЗдоровьеОптикаАксессуары для линз,Здоровье,Оптика,Аксессуары для линз,,,,35%,35%,35%
2651,"ЗдоровьеОптикаСалфетки, спреи для очков",Здоровье,Оптика,"Салфетки, спреи для очков",,,,35%,35%,35%
2652,ЗдоровьеОртопедические изделияКомпрессионный трикотажКомпрессионные чулки,Здоровье,Ортопедические изделия,Компрессионный трикотаж,Компрессионные чулки,,,30%,30%,30%
2653,ЗдоровьеОртопедические изделияКомпрессионный трикотажКомпрессионные колготки,Здоровье,Ортопедические изделия,Компрессионный трикотаж,Компрессионные колготки,,,30%,30%,30%
2654,"ЗдоровьеОртопедические изделияКомпрессионный трикотажКомпрессионные гольфы, гетры, носки",Здоровье,Ортопедические изделия,Компрессионный трикотаж,"Компрессионные гольфы, гетры, носки",,,30%,30%,30%
2655,ЗдоровьеМедицинские приборыМедицинские и лабораторные анализаторы,Здоровье,Медицинские приборы,Медицинские и лабораторные анализаторы,,,,22%,22%,22%
2656,"ЗдоровьеОртопедические изделияОртопедические стельки и полустельки, корректоры стопы",Здоровье,Ортопедические изделия,"Ортопедические стельки и полустельки, корректоры стопы",,,,35%,35%,35%
2658,"ЗдоровьеМедицинские приборыКварцевые лампы, рециркуляторы и облучатели",Здоровье,Медицинские приборы,"Кварцевые лампы, рециркуляторы и облучатели",,,,20%,20%,20%
2659,ЗдоровьеМедицинские приборыМедицинские браслеты и пульсоксиметры,Здоровье,Медицинские приборы,Медицинские браслеты и пульсоксиметры,,,,20%,20%,20%
2661,ЗдоровьеМедицинские приборыИнгаляторы и аксессуары,Здоровье,Медицинские приборы,Ингаляторы и аксессуары,,,,20%,20%,20%
2662,Красота и уходУход за лицомМаскиГлина,Красота и уход,Уход за лицом,Маски,Глина,,,20%,20%,20%
2663,Красота и уходУход за лицомСкрабы и пилинг,Красота и уход,Уход за лицом,Скрабы и пилинг,,,,20%,20%,20%
2664,ЗдоровьеМедицинские приборыТермометры медицинские,Здоровье,Медицинские приборы,Термометры медицинские,,,,25%,25%,25%
2665,Бытовая химияЧистящие и моющие средстваСпециальные чистящие средства,Бытовая химия,Чистящие и моющие средства,Специальные чистящие средства,,,,20%,20%,20%
2667,ЗдоровьеМедицинские приборыСтетоскопы,Здоровье,Медицинские приборы,Стетоскопы,,,,20%,20%,20%
2668,"ЗдоровьеМедицинские изделия и расходные материалыАптечки, таблетницы и медицинские сумки",Здоровье,Медицинские изделия и расходные материалы,"Аптечки, таблетницы и медицинские сумки",,,,30%,30%,30%
2669,ЗдоровьеМедицинские приборыГлюкометры и аксессуарыЛанцеты для глюкометра,Здоровье,Медицинские приборы,Глюкометры и аксессуары,Ланцеты для глюкометра,,,20%,20%,20%
2670,ЗдоровьеМедицинские изделия и расходные материалыДезинфицирующие средства,Здоровье,Медицинские изделия и расходные материалы,Дезинфицирующие средства,,,,30%,30%,30%
2671,ЗдоровьеМедицинские изделия и расходные материалыПерчатки медицинские,Здоровье,Медицинские изделия и расходные материалы,Перчатки медицинские,,,,20%,20%,20%
2672,Красота и уходУход за теломУвлажнение и питаниеМаски для ног,Красота и уход,Уход за телом,Увлажнение и питание,Маски для ног,,,20%,20%,20%
